topic_id,query
1,C0079946 C0206419 C0439659 C1550512. C0079946 C0439659 C1550512 C5203670. C0003062 C0015219 C0040722 C0042776 C0079946 C0086418 C0205435 C0242781 C0319157 C0332257 C0439659 C0449416 C0870705 C1279901 C1514721 C1521797 C1533716 C1550512 C1552866 C1561527 C1561528 C1705919 C2348147 C2700399 C3542016 C4521696 C4760793 C5203676. C5203670
2,C0043085 C0206419 C0392747 C0443172 C0871261 C1704632 C1705241 C1706817 C2911692 C4319952. C0043085 C0206419 C0392747 C0443172 C1705241 C4319952. C0008946 C0012634 C0043085 C0348080 C0870705 C1514721 C1533716 C1561527 C1561528 C1563773 C1705242 C1705253 C2348147 C3542016 C3864998 C4722256 C4760793 C5203676. C5203670
3,C0020964 C0206419. C0020964 C0027361 C0332149 C0439663 C1175175 C1175743 C1419818 C1425041 C1705910 C2362652 C2717886. C0008972 C0009450 C0020964 C0206419 C0332307 C0557651 C0678226 C0947630 C1175175 C1175743 C1419818 C1420009 C1425041 C1517378 C1552651 C1556682 C1705923 C1880229 C2603343 C2717886 C3146286 C3714514 C5202910. C5203670
4,C0012144 C0027361 C0206419. C0011065 C0015127 C1306577 C1524003 C1546949 C1559081 C4722467 C5203670. C0008972 C0011065 C0233426 C0441712 C0557651 C0947630 C1306577 C1546949 C1559081 C1705923 C1706376 C1880229 C2603343 C4722467 C5203670. C5203670
5,C0012644 C0599779 C5203670. C0013227 C0205177 C0679217 C0683949 C0718247 C1175743 C1254351 C1553875 C1561507 C1561508 C1561509 C1561510 C1561511 C1561512 C1561513 C1706449 C2347179 C3853793 C3888249 C5203676. C0005507 C0007585 C0009450 C0012644 C0013227 C0030351 C0038577 C0042736 C0243073 C0599779 C0700271 C1145667 C1167622 C1254351 C1274040 C1510438 C1546471 C1547566 C1556682 C2347946 C2825142 C2826224 C3714514 C4721550 C5203676. C5203670
6,C0022885 C0039593 C0206419 C0392366 C0456984 C1704435 C2826273 C3831328 C4318744. C0022885 C0039593 C0332307 C0392366 C0456962 C0456984 C1420009 C1552651 C1704435 C2826273 C3831328 C4318744 C5202910 C5203670. C0008972 C0011900 C0233426 C0456962 C0557651 C0947630 C1705923 C1880229 C2603343 C5203670. C5203670
7,C0036743 C0206419. C0003241 C0021027 C0036743 C0206419 C0442726 C1167408 C1621287 C3665580 C3891454. C0005507 C0020964 C0079809 C0233426 C0242485 C0243073 C0301872 C0332149 C0332282 C0521095 C1269765 C1510438 C1552861 C1705910 C2362652 C4699566 C5203670. C5203670
8,C0206419 C0684224 C0700287 C3273238 C4255046. C0021149 C0022885 C0023175 C0039593 C0181586 C0205238 C0220856 C0332268 C0392366 C0456984 C0470187 C0524167 C1442948 C1522538 C1704435 C2348269 C2826273 C3275067 C3831328 C4318744 C5203670. C0008972 C0022885 C0039593 C0205197 C0233426 C0332268 C0392366 C0456984 C0557651 C0947630 C1522634 C1548561 C1704435 C1705923 C1706059 C1706817 C1825598 C1880229 C2603343 C2826273 C3831328 C3853530 C4049986 C4283785 C4318744 C5203670. C5203670
9,C0006823 C0206419. C0001721 C0006823 C5203670. C0009450 C0018684 C0019993 C0026565 C0026566 C0085559 C0163712 C0521093 C0683368 C0750484 C0750491 C1274040 C1456348 C1457887 C1511726 C1548354 C1556682 C1571873 C1709701 C3245479 C3714514 C3714741. C5203670
10,C0206419 C0728831 C1825598 C4049986. C0332261 C0439834 C0728831 C1825598 C1947932 C4049986 C5203670. C0008972 C0040722 C0079809 C0205369 C0205447 C0242485 C0242781 C0449445 C0557651 C0728831 C0870705 C0947630 C1513853 C1518422 C1521797 C1533716 C1552740 C1561527 C1561528 C1705923 C1880229 C2603343 C5201140 C5203670. C5203670
11,C0019994 C0206419 C1510665 C1547192. C0030705 C0162791 C0206750 C0282423 C1550655 C1578481 C1578483 C1578484 C1578485 C1578486 C1705908. C0002055 C0011298 C0030705 C0036743 C0162791 C0178499 C0205210 C0206750 C0227958 C0282423 C0311392 C0870705 C1533716 C1547188 C1549548 C1550601 C1550655 C1561527 C1561528 C1578481 C1578483 C1578484 C1578485 C1578486 C1626935 C1704464 C1705908 C1705938 C1843354 C1880279 C2987514 C3272565 C4523057 C5203670. C5203670
12,C0034386 C0206419. C0019994 C0024501 C0034386 C0442519 C1510665 C1547192 C1547197 C1548341 C1548530 C1549632 C1553498 C3179154. C0026606 C0034386 C0042776 C0205177 C0319157 C0439663 C0441655 C0449238 C0720099 C0870705 C1533716 C1561527 C1561528 C2926735 C3179154 C3668946 C3714514 C4049938 C4049939 C5203670. C5203670
