query,index
query,title
query,abstract
query,metamap_00_term_title_abstract
query,metamap_01_term_title_abstract
query,metamap_10_term_title_abstract
query,metamap_11_term_title_abstract
question,title
question,abstract
question,metamap_00_term_title_abstract
question,metamap_01_term_title_abstract
question,metamap_10_term_title_abstract
question,metamap_11_term_title_abstract
narrative,title
narrative,abstract
narrative,metamap_00_term_title_abstract
narrative,metamap_01_term_title_abstract
narrative,metamap_10_term_title_abstract
narrative,metamap_11_term_title_abstract
covid,title
covid,abstract
covid,metamap_00_term_title_abstract
covid,metamap_01_term_title_abstract
covid,metamap_10_term_title_abstract
covid,metamap_11_term_title_abstract
lexi_query,title
lexi_query,abstract
lexi_query,metamap_00_term_title_abstract
lexi_query,metamap_01_term_title_abstract
lexi_query,metamap_10_term_title_abstract
lexi_query,metamap_11_term_title_abstract
lexi_question,title
lexi_question,abstract
lexi_question,metamap_00_term_title_abstract
lexi_question,metamap_01_term_title_abstract
lexi_question,metamap_10_term_title_abstract
lexi_question,metamap_11_term_title_abstract
lexi_narrative,title
lexi_narrative,abstract
lexi_narrative,metamap_00_term_title_abstract
lexi_narrative,metamap_01_term_title_abstract
lexi_narrative,metamap_10_term_title_abstract
lexi_narrative,metamap_11_term_title_abstract
lexi_covid,title
lexi_covid,abstract
lexi_covid,metamap_00_term_title_abstract
lexi_covid,metamap_01_term_title_abstract
lexi_covid,metamap_10_term_title_abstract
lexi_covid,metamap_11_term_title_abstract
metamap_00_term_query,title
metamap_00_term_query,abstract
metamap_00_term_query,metamap_00_term_title_abstract
metamap_00_term_question,title
metamap_00_term_question,abstract
metamap_00_term_question,metamap_00_term_title_abstract
metamap_00_term_narrative,title
metamap_00_term_narrative,abstract
metamap_00_term_narrative,metamap_00_term_title_abstract
metamap_00_term_covid,title
metamap_00_term_covid,abstract
metamap_00_term_covid,metamap_00_term_title_abstract
metamap_01_term_query,title
metamap_01_term_query,abstract
metamap_01_term_query,metamap_01_term_title_abstract
metamap_01_term_question,title
metamap_01_term_question,abstract
metamap_01_term_question,metamap_01_term_title_abstract
metamap_01_term_narrative,title
metamap_01_term_narrative,abstract
metamap_01_term_narrative,metamap_01_term_title_abstract
metamap_01_term_covid,title
metamap_01_term_covid,abstract
metamap_01_term_covid,metamap_01_term_title_abstract
metamap_10_term_query,title
metamap_10_term_query,abstract
metamap_10_term_query,metamap_10_term_title_abstract
metamap_10_term_question,title
metamap_10_term_question,abstract
metamap_10_term_question,metamap_10_term_title_abstract
metamap_10_term_narrative,title
metamap_10_term_narrative,abstract
metamap_10_term_narrative,metamap_10_term_title_abstract
metamap_10_term_covid,title
metamap_10_term_covid,abstract
metamap_10_term_covid,metamap_10_term_title_abstract
metamap_11_term_query,title
metamap_11_term_query,abstract
metamap_11_term_query,metamap_11_term_title_abstract
metamap_11_term_question,title
metamap_11_term_question,abstract
metamap_11_term_question,metamap_11_term_title_abstract
metamap_11_term_narrative,title
metamap_11_term_narrative,abstract
metamap_11_term_narrative,metamap_11_term_title_abstract
metamap_11_term_covid,title
metamap_11_term_covid,abstract
metamap_11_term_covid,metamap_11_term_title_abstract
metamap_00_id_query,metamap_00_id_title_abstract
metamap_00_id_question,metamap_00_id_title_abstract
metamap_00_id_narrative,metamap_00_id_title_abstract
metamap_00_id_covid,metamap_00_id_title_abstract
metamap_01_id_query,metamap_01_id_title_abstract
metamap_01_id_question,metamap_01_id_title_abstract
metamap_01_id_narrative,metamap_01_id_title_abstract
metamap_01_id_covid,metamap_01_id_title_abstract
metamap_10_id_query,metamap_10_id_title_abstract
metamap_10_id_question,metamap_10_id_title_abstract
metamap_10_id_narrative,metamap_10_id_title_abstract
metamap_10_id_covid,metamap_10_id_title_abstract
metamap_11_id_query,metamap_11_id_title_abstract
metamap_11_id_question,metamap_11_id_title_abstract
metamap_11_id_narrative,metamap_11_id_title_abstract
metamap_11_id_covid,metamap_11_id_title_abstract
